Image Name,Dice Score,IoU Score
WhatsApp Image 2024-09-03 at 11.00.20_71391236.jpg,0.27546675396733267,0.48853224695625747
WhatsApp Image 2024-09-03 at 11.00.20_975209d5.jpg,0.4519810858917348,0.4501022340876583
WhatsApp Image 2024-09-03 at 11.00.21_2adbaf57.jpg,0.5104859765640324,0.560287706818316
WhatsApp Image 2024-09-03 at 11.00.21_32ee3ec6.jpg,0.6155146188831518,0.7127795780989861
WhatsApp Image 2024-09-03 at 11.00.21_4f22c9c5.jpg,0.6366718027538776,0.6758363325714339
WhatsApp Image 2024-09-03 at 11.00.21_944000c3.jpg,0.6778561273205613,0.6940709188204731
WhatsApp Image 2024-09-03 at 11.00.21_ad75ecf3.jpg,0.6319245950620674,0.8045287300430404
WhatsApp Image 2024-09-03 at 11.00.21_b14371ea.jpg,0.4383788254542705,0.5512751244805082
WhatsApp Image 2024-09-03 at 11.00.21_ce012a68.jpg,0.5785398678386124,0.7250426204128599
WhatsApp Image 2024-09-03 at 11.00.21_d0e3dd49.jpg,0.4174439732989165,0.5986246683307659
WhatsApp Image 2024-09-03 at 11.00.21_f35728db.jpg,0.2744072731431216,0.4151355205813432
WhatsApp Image 2024-09-03 at 11.00.21_f6e3026c.jpg,0.6063132427605918,0.6117288588799735
WhatsApp Image 2024-09-03 at 11.00.22_c21d3faf.jpg,0.43135245898877095,0.3867127566550867
WhatsApp Image 2024-09-03 at 20.24.49_0cb96d2e.jpg,0.7255268736524029,0.9033955351369788
WhatsApp Image 2024-09-03 at 20.24.49_3a87b8a6.jpg,0.5660004237187654,0.7342034408923925
WhatsApp Image 2024-09-03 at 20.24.49_abb8af43.jpg,0.5218770188217609,0.5668833753494078
WhatsApp Image 2024-09-03 at 20.24.49_c04a8ec0.jpg,0.3626328699547595,0.48115728815679276
WhatsApp Image 2024-09-03 at 20.24.50_4b78b980.jpg,0,0
WhatsApp Image 2024-09-03 at 20.24.50_565e34de.jpg,0.47208618997896923,0.7864497844656138
WhatsApp Image 2024-09-03 at 20.24.50_60f03f6a.jpg,0.0,0.0
WhatsApp Image 2024-09-03 at 20.24.50_8feed04d.jpg,0.46536993265490456,0.7565762754821266
WhatsApp Image 2024-09-03 at 20.24.50_931b2393.jpg,0.6031803725305234,0.6610161834309412
WhatsApp Image 2024-09-03 at 20.24.50_ae964218.jpg,0.0,0.0
WhatsApp Image 2024-09-03 at 20.24.51_79bf29b6.jpg,0,0
WhatsApp Image 2024-09-03 at 20.24.51_93cbe1c8.jpg,0.7434310850330876,0.9027849239319717
,,
Summary Statistics:,,
Number of images processed: 25,,
Average Dice Score: 0.4403,,
Average IoU Score: 0.5387,,
Best Dice Score: 0.7434,,
Worst Dice Score: 0.0000,,
